"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create new post without Title Field and validate the response","38","Create new post without Title Field","Surefire suite","Mon Sep 08 10:50:26 UTC 2025","passed","Mon Sep 08 10:50:26 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","createNewPostWithNoTitle"
"Create new post with Unicode Characters and validate the response","114","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 10:50:27 UTC 2025","passed","Mon Sep 08 10:50:27 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Create new post with Invalid UserId and validate the response","35","Create new post with Invalid UserId","Surefire suite","Mon Sep 08 10:50:26 UTC 2025","passed","Mon Sep 08 10:50:26 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","createNewPostwithInvalidUserId"
"Get all posts and validate the response","120","Get all posts","Surefire suite","Mon Sep 08 10:50:28 UTC 2025","passed","Mon Sep 08 10:50:28 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","getAllPosts"
"Update Post by Id and validate the response","83","Update Post by Id","Surefire suite","Mon Sep 08 10:50:28 UTC 2025","passed","Mon Sep 08 10:50:28 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","updatePostById"
"Create new post without Body Field and validate the response","1488","Create new post without Body Field","Surefire suite","Mon Sep 08 10:50:24 UTC 2025","passed","Mon Sep 08 10:50:26 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","createNewPostWithNoBody"
"Create new post with Unicode Characters and validate the response","194","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 10:50:27 UTC 2025","passed","Mon Sep 08 10:50:28 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Create new post with Unicode Characters and validate the response","91","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 10:50:28 UTC 2025","passed","Mon Sep 08 10:50:28 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Delete Post by Id and validate the response","46","Delete Post by Id","Surefire suite","Mon Sep 08 10:50:28 UTC 2025","passed","Mon Sep 08 10:50:28 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","deletePostById"
"Create new post with Unicode Characters and validate the response","99","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 10:50:28 UTC 2025","passed","Mon Sep 08 10:50:28 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Create new post with Unicode Characters and validate the response","81","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 10:50:28 UTC 2025","passed","Mon Sep 08 10:50:28 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Create a new Post and validate the response","1322","Create a new Post","Surefire suite","Mon Sep 08 10:50:26 UTC 2025","passed","Mon Sep 08 10:50:27 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPost"
"Get Post by Id and validate the response","60","Get Post by Id","Surefire suite","Mon Sep 08 10:50:28 UTC 2025","passed","Mon Sep 08 10:50:28 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","getPostById"
